lemma	past_tense	verb_type
まわる	まわった	1																							
うる	うった	1																							
くださる	くださった	1																							
あおる	あおった	1																							
なさる	なさった	1																							
ならぶ	ならんだ	1																							
しのぶ	しのんだ	1																							
きりむすぶ	きりむすんだ	1																							
およぶ	およんだ	1																							
とりむすぶ	とりむすんだ	1																							
とりはこぶ	とりはこんだ	1																							
さけぶ	さけんだ	1																							
ふきすさぶ	ふきすさんだ	1																							
ふきとぶ	ふきとんだ	1																							
よぶ	よんだ	1																							
よろこぶ	よろこんだ	1																							
たえしのぶ	たえしのんだ	1																							
まなぶ	まなんだ	1																							
ねころぶ	ねころんだ	1																							
いならぶ	いならんだ	1																							
もてあそぶ	もてあそんだ	1																							
はじけとぶ	はじけとんだ	1																							
おもいおよぶ	おもいおよんだ	1																							
おもいうかぶ	おもいうかんだ	1																							
もちはこぶ	もちはこんだ	1																							
なきさけぶ	なきさけんだ	1																							
うかぶ	うかんだ	1																							
けしとぶ	けしとんだ	1																							
ほろぶ	ほろんだ	1																							
たちならぶ	たちならんだ	1																							
すっとぶ	すっとんだ	1																							
むすぶ	むすんだ	1																							
ほころぶ	ほころんだ	1																							
ききおよぶ	ききおよんだ	1																							
いいおよぶ	いいおよんだ	1																							
ときおよぶ	ときおよんだ	1																							
すっころぶ	すっころんだ	1																							
ころぶ	ころんだ	1																							
あそぶ	あそんだ	1																							
はこぶ	はこんだ	1																							
えらぶ	えらんだ	1																							
ぶっとぶ	ぶっとんだ	1																							
とぶ	とんだ	1																							
のりつぐ	のりついだ	1																							
あおぐ	あおいだ	1																							
かつぐ	かついだ	1																							
なぐ	ないだ	1																							
こそぐ	こそいだ	1																							
そぐ	そいだ	1																							
とりひしぐ	とりひしいだ	1																							
うけつぐ	うけついだ	1																							
やわらぐ	やわらいだ	1																							
あえぐ	あえいだ	1																							
かぐ	かいだ	1																							
ふさぐ	ふさいだ	1																							
うりいそぐ	うりいそいだ	1																							
やすらぐ	やすらいだ	1																							
たいらぐ	たいらいだ	1																							
ひきつぐ	ひきついだ	1																							
いそぐ	いそいだ	1																							
うちひしぐ	うちひしいだ	1																							
ひしぐ	ひしいだ	1																							
ふりあおぐ	ふりあおいだ	1																							
ゆらぐ	ゆらいだ	1																							
そそぐ	そそいだ	1																							
およぐ	およいだ	1																							
こぐ	こいだ	1																							
すすぐ	すすいだ	1																							
かしぐ	かしいだ	1																							
はしゃぐ	はしゃいだ	1																							
いきいそぐ	いきいそいだ	1																							
まじろぐ	まじろいだ	1																							
はぐ	はいだ	1																							
とぐ	といだ	1																							
かせぐ	かせいだ	1																							
たちさわぐ	たちさわいだ	1																							
つむぐ	つむいだ	1																							
つぐ	ついだ	1																							
ぬぐ	ぬいだ	1																							
わかやぐ	わかやいだ	1																							
うすらぐ	うすらいだ	1																							
いいつぐ	いいついだ	1																							
かたりつぐ	かたりついだ	1																							
みつぐ	みついだ	1																							
またぐ	またいだ	1																							
みじろぐ	みじろいだ	1																							
ふせぐ	ふせいだ	1																							
ふりそそぐ	ふりそそいだ	1																							
くいつなぐ	くいつないだ	1																							
さわぐ	さわいだ	1																							
せめぐ	せめいだ	1																							
ひさぐ	ひさいだ	1																							
こころゆく	こころゆいた	1																							
おちゆく	おちゆいた	1																							
すぎゆく	すぎゆいた	1																							
うわむく	うわむいた	1																							
したむく	したみいた	1																							
ことかく	ことかいた	1																							
ほのめく	ほのめいた	1																							
つく	ついた	1																							
まとわりつく	まとわりついた	1																							
しがみつく	しがみついた	1																							
じゃらつく	じゃらついた	1																							
くっつく	くっついた	1																							
あおむく	あおむいた	1																							
のしあるく	のしあるいた	1																							
につく	についた	1																							
すみつく	すみついた	1																							
うつむく	うつむいた	1																							
かしずく	かしずいた	1																							
かしづく	かしづいた	1																							
きずつく	きずついた	1																							
かたむく	かたむいた	1																							
はたらく	はたらいた	1																							
いきづく	いきづいた	1																							
ひかりかがやく	ひかりかがやいた	1																							
しみつく	しみついた	1																							
こごえつく	こごえついた	1																							
こおりつく	こおりついた	1																							
きりぬく	きりぬいた	1																							
きりかく	きりかいた	1																							
きりさく	きりさいた	1																							
きりひらく	きりひらいた	1																							
はだく	はだいた	1																							
むく	むいた	1																							
わりびく	わりびいた	1																							
つんざく	つんざいた	1																							
ちからづく	ちからづいた	1																							
たすく	たすいた	1																							
うごく	うごいた	1																							
いきおいづく	いきおいづいた	1																							
とりつく	とりついた	1																							
とりまく	とりまいた	1																							
とりさばく	とりさばいた	1																							
とりのぞく	とりのぞいた	1																							
くどく	くどいた	1																							
たたく	たたいた	1																							
ほえつく	ほえついた	1																							
すいつく	すいついた	1																							
ふく	ふいた	1																							
ふきぬく	ふきぬいた	1																							
ふぶく	ふぶいた	1																							
つぶやく	つぶやいた	1																							
うめく	うめいた	1																							
せく	せいた	1																							
しわぶく	しわぶいた	1																							
むせびなく	むせびないた	1																							
つはく	つはいた	1																							
わめく	わめいた	1																							
なげく	なげいた	1																							
えずく	えずいた	1																							
うそぶく	うそぶいた	1																							
いななく	いなないた	1																							
かみつく	かみついた	1																							
かみしだく	かみしだいた	1																							
ささやく	ささやいた	1																							
もとづく	もとづいた	1																							
うりたたく	うりたたいた	1																							
うりさばく	うりさばいた	1																							
うりあるく	うりあるいた	1																							
あだめく	あだめいた	1																							
よりつく	よりついた	1																							
ねつく	ねついた	1																							
ことぶく	ことぶいた	1																							
いぬく	いぬいた	1																							
みちびく	みちびいた	1																							
こづく	こづいた	1																							
いつく	いついた	1																							
とどく	とどいた	1																							
めぐりあるく	めぐりあるいた	1																							
さしひく	さしひいた	1																							
さしまねく	さしまねいた	1																							
さしおく	さしおいた	1																							
さしのぞく	さしのぞいた	1																							
さしひびく	さしひびいた	1																							
まきつく	まきついた	1																							
まく	まいた	1																							
ひく	ひいた	1																							
ひっつく	ひっついた	1																							
ひっぱたく	ひっぱたいた	1																							
ひきぬく	ひきぬいた	1																							
ひっこぬく	ひっこぬいた	1																							
